feedback_id,created_at,author_type,channel,n_tokens,exclusion_reason,text_redacted,pii_types,category,confidence
F00000,2026-02-10,provider,review,14,,"Login loop on Android, keeps sending me back to the start screen Otherwise fine",,app_bug,0.8169766264254658
F00001,2026-01-21,provider,support,15,,"So Kept coming back for the same fault each week, no real progress at all",,workmanship_quality,0.9134590474729942
F00002,2025-12-04,provider,review,18,,Just to say The availability calendar doesn't keep my changes after I close it Please sort it out,,app_bug,0.789365354867518
F00003,2025-11-17,provider,support,21,,Update - Third enquiry this week where the person says they never filled anything in Been using the site since January,,lead_quality,0.5800357592706435
F00004,2025-12-16,provider,support,13,,"Quick one: Can't update my coverage zones, the save button is greyed out",,app_bug,0.9411939952121124
F00005,2025-12-04,provider,review,17,,"Update - Lead was from Z29 which I don't even cover, why was it sent to me",,lead_quality,0.9447997619558214
F00006,2025-11-23,provider,support,10,,So Uploaded a new profile photo and it shows sideways,,app_bug,0.7904501817119284
F00007,2026-01-03,customer,support,21,,"Hi, Kept coming back for the same fault each week, no real progress at all Been using the site since October",,workmanship_quality,0.8929435748236072
F00008,2026-01-21,provider,support,15,,"quick one: great tradesperson, tidy and methodical, highly recommend been using the site since october",,workmanship_quality,0.8935749456962112
F00009,2025-12-04,provider,survey,15,,Update - Third enquiry this week where the person says they never filled anything in,,lead_quality,0.6074815236680636
F00010,2025-12-09,provider,support,12,,"Honestly, Uploaded a new profile photo and it shows sideways Otherwise fine",,app_bug,0.7273971490344909
F00011,2026-02-22,provider,review,13,,"Feedback: Spent most of the visit on his phone, barely explained anything Cheers",,workmanship_quality,0.9167705227069513
F00012,2025-10-16,provider,survey,17,,"So The customer was actually two counties away, the address must have been typed wrong Otherwise fine",,lead_quality,0.7297271036826921
F00013,2026-02-11,provider,support,15,,"Feedback: Was promised my money back for the fake enquiry, 6 days later still waiting",,provider_no_show,0.8257057178684649
F00014,2025-10-21,customer,support,8,,"Feedback: Great tradesperson, tidy and methodical, highly recommend",,workmanship_quality,0.9381913513087962
F00015,2025-09-06,customer,review,14,,"two appointments in a row moved at the last minute, i've lost a week",,app_bug,0.5811145266252555
F00016,2025-11-22,provider,review,11,,Uploaded a new profile photo and it shows sideways Not impressed,,app_bug,0.8058333233071192
F00017,2026-01-28,provider,review,14,,"Honestly, Uploaded a new profile photo and it shows sideways Would appreciate a reply",,app_bug,0.8919386208617129
F00018,2025-10-01,provider,support,17,,Bought 12 leads this month and only one picked up the phone Second time this has happened,,lead_quality,0.8523843208932066
F00019,2026-01-11,customer,survey,18,,"Hi, Asked for cash up front for the full job then said the rate had gone up Thanks",,price_dispute,0.7128968936135047
F00020,2025-09-30,customer,review,19,,"Quick one: Left me waiting at the property in Z17 all morning, no message nothing This was in Z17",,provider_no_show,0.6238063277858696
F00021,2025-10-04,provider,review,17,,"Quick one: Lead was from Z04 which I don't even cover, why was it sent to me",,lead_quality,0.9248139339331594
F00022,2026-03-01,provider,support,12,,"requested a refund for a dead lead 2 weeks ago, still nothing",,lead_quality,0.7925564532641037
F00023,2025-09-30,customer,survey,13,,He simply didn't show up on Saturday and went quiet afterwards Not impressed,,provider_no_show,0.5686356366161515
F00024,2026-02-21,customer,support,14,,"update - great tradesperson, tidy and methodical, highly recommend I live near [POSTCODE]",POSTCODE,workmanship_quality,0.9026937578278783
F00025,2025-09-19,customer,support,16,,"honestly, left me waiting at the property in z17 all morning, no message nothing not impressed",,provider_no_show,0.5352797908031675
F00026,2026-02-10,customer,review,16,,"Update - Felt rushed, didn't finish the sealing properly before leaving Second time this has happened",,workmanship_quality,0.7827321148119324
